run_id,name,gender,race,education,age,query_response_raw,query_response
0,Charlie Andersen,Man,Anglo,Some high school (did not complete),16,,
1,Charlie Andersen,Man,Anglo,Some high school (did not complete),16,,
2,Charlie Andersen,Man,Anglo,Some high school (did not complete),16,,
3,Charlie Andersen,Man,Anglo,Some high school (did not complete),30,,
4,Charlie Andersen,Man,Anglo,Some high school (did not complete),30,,
5,Charlie Andersen,Man,Anglo,Some high school (did not complete),30,,
6,Charlie Andersen,Man,Anglo,Some high school (did not complete),45,,
7,Charlie Andersen,Man,Anglo,Some high school (did not complete),45,,
8,Charlie Andersen,Man,Anglo,Some high school (did not complete),45,,
9,Charlie Andersen,Man,Anglo,Some high school (did not complete),65,,
10,Charlie Andersen,Man,Anglo,Some high school (did not complete),65,,
11,Charlie Andersen,Man,Anglo,Some high school (did not complete),65,,
12,Charlie Andersen,Man,Anglo,Some high school (did not complete),None-Control,,
13,Charlie Andersen,Man,Anglo,Some high school (did not complete),None-Control,,
14,Charlie Andersen,Man,Anglo,Some high school (did not complete),None-Control,,
15,Charlie Andersen,Man,Anglo,High School Diploma,16,,
16,Charlie Andersen,Man,Anglo,High School Diploma,16,,
17,Charlie Andersen,Man,Anglo,High School Diploma,16,,
18,Charlie Andersen,Man,Anglo,High School Diploma,30,,
19,Charlie Andersen,Man,Anglo,High School Diploma,30,,
20,Charlie Andersen,Man,Anglo,High School Diploma,30,,
21,Charlie Andersen,Man,Anglo,High School Diploma,45,,
22,Charlie Andersen,Man,Anglo,High School Diploma,45,,
23,Charlie Andersen,Man,Anglo,High School Diploma,45,,
24,Charlie Andersen,Man,Anglo,High School Diploma,65,,
25,Charlie Andersen,Man,Anglo,High School Diploma,65,,
26,Charlie Andersen,Man,Anglo,High School Diploma,65,,
27,Charlie Andersen,Man,Anglo,High School Diploma,None-Control,,
28,Charlie Andersen,Man,Anglo,High School Diploma,None-Control,,
29,Charlie Andersen,Man,Anglo,High School Diploma,None-Control,,
30,Charlie Andersen,Man,Anglo,Associate's Degree,16,,
31,Charlie Andersen,Man,Anglo,Associate's Degree,16,,
32,Charlie Andersen,Man,Anglo,Associate's Degree,16,,
33,Charlie Andersen,Man,Anglo,Associate's Degree,30,,
34,Charlie Andersen,Man,Anglo,Associate's Degree,30,,
35,Charlie Andersen,Man,Anglo,Associate's Degree,30,,
36,Charlie Andersen,Man,Anglo,Associate's Degree,45,,
37,Charlie Andersen,Man,Anglo,Associate's Degree,45,,
38,Charlie Andersen,Man,Anglo,Associate's Degree,45,,
39,Charlie Andersen,Man,Anglo,Associate's Degree,65,,
40,Charlie Andersen,Man,Anglo,Associate's Degree,65,,
41,Charlie Andersen,Man,Anglo,Associate's Degree,65,,
42,Charlie Andersen,Man,Anglo,Associate's Degree,None-Control,,
43,Charlie Andersen,Man,Anglo,Associate's Degree,None-Control,,
44,Charlie Andersen,Man,Anglo,Associate's Degree,None-Control,,
45,Charlie Andersen,Man,Anglo,Bachelor's Degree,16,,
46,Charlie Andersen,Man,Anglo,Bachelor's Degree,16,,
47,Charlie Andersen,Man,Anglo,Bachelor's Degree,16,,
48,Charlie Andersen,Man,Anglo,Bachelor's Degree,30,,
49,Charlie Andersen,Man,Anglo,Bachelor's Degree,30,,
50,Charlie Andersen,Man,Anglo,Bachelor's Degree,30,,
51,Charlie Andersen,Man,Anglo,Bachelor's Degree,45,,
52,Charlie Andersen,Man,Anglo,Bachelor's Degree,45,,
53,Charlie Andersen,Man,Anglo,Bachelor's Degree,45,,
54,Charlie Andersen,Man,Anglo,Bachelor's Degree,65,,
55,Charlie Andersen,Man,Anglo,Bachelor's Degree,65,,
56,Charlie Andersen,Man,Anglo,Bachelor's Degree,65,,
57,Charlie Andersen,Man,Anglo,Bachelor's Degree,None-Control,,
58,Charlie Andersen,Man,Anglo,Bachelor's Degree,None-Control,,
59,Charlie Andersen,Man,Anglo,Bachelor's Degree,None-Control,,
60,Charlie Andersen,Man,Anglo,Master's Degree,16,,
61,Charlie Andersen,Man,Anglo,Master's Degree,16,,
62,Charlie Andersen,Man,Anglo,Master's Degree,16,,
63,Charlie Andersen,Man,Anglo,Master's Degree,30,,
64,Charlie Andersen,Man,Anglo,Master's Degree,30,,
65,Charlie Andersen,Man,Anglo,Master's Degree,30,,
66,Charlie Andersen,Man,Anglo,Master's Degree,45,,
67,Charlie Andersen,Man,Anglo,Master's Degree,45,,
68,Charlie Andersen,Man,Anglo,Master's Degree,45,,
69,Charlie Andersen,Man,Anglo,Master's Degree,65,,
70,Charlie Andersen,Man,Anglo,Master's Degree,65,,
71,Charlie Andersen,Man,Anglo,Master's Degree,65,,
72,Charlie Andersen,Man,Anglo,Master's Degree,None-Control,,
73,Charlie Andersen,Man,Anglo,Master's Degree,None-Control,,
74,Charlie Andersen,Man,Anglo,Master's Degree,None-Control,,
75,Charlie Andersen,Man,Anglo,None-Control,16,,
